draw	prepare	execute	process
1.21	0.34	3.66	0.61
1.07	0.34	3.66	0.61
1.06	0.31	3.78	0.58
1.10	0.31	3.75	0.64
1.06	0.31	3.69	0.61
1.04	0.27	3.75	0.64
1.06	0.27	3.72	0.61
1.01	0.27	3.69	0.61
1.26	0.21	9.25	0.73
1.27	0.21	3.69	0.58
1.29	0.21	5.04	0.61
1.24	0.24	4.67	0.67
1.65	0.37	4.73	1.98
2.49	0.21	3.81	0.70
1.65	0.24	4.55	0.64
2.92	0.21	4.67	0.76
3.00	0.18	4.15	0.52
4.17	0.24	3.75	0.61
4.22	0.24	3.57	0.55
2.99	0.21	4.06	0.55
2.96	0.21	3.42	0.55
4.62	0.24	3.42	0.55
3.13	0.21	3.88	0.52
4.97	0.27	3.45	0.61
2.75	0.18	3.23	0.49
5.17	0.49	4.12	0.73
3.25	0.31	4.30	0.73
3.05	0.24	4.09	0.73
3.24	0.21	5.40	0.79
7.27	0.43	5.13	0.79
4.41	0.27	5.68	0.82
9.43	0.49	5.34	0.95
2.14	0.40	4.94	0.76
1.99	0.31	4.79	0.89
5.05	0.79	5.16	0.82
3.75	0.34	5.37	0.92
2.75	0.31	5.22	0.89
4.25	0.43	5.55	0.89
1.57	0.43	5.25	0.73
1.55	0.43	5.43	0.82
3.91	0.55	6.04	0.76
1.63	0.43	5.40	0.98
1.67	0.43	22.25	0.76
5.12	0.49	6.68	0.85
2.57	0.89	9.09	1.13
1.64	0.27	21.42	0.92
7.01	1.01	3.94	0.67
1.32	0.76	4.82	0.52
1.23	0.70	4.76	0.55
1.36	0.67	4.15	0.58
1.22	0.79	3.66	0.52
1.35	0.40	3.75	0.58
2.88	0.52	4.06	0.61
1.15	0.40	4.18	0.55
1.28	0.49	4.27	0.55
1.19	0.43	4.09	0.52
1.17	0.52	4.12	0.55
1.24	0.49	4.43	0.58
1.19	0.52	4.00	0.55
1.19	0.52	4.06	0.55
1.17	0.49	4.00	0.55
1.73	0.52	3.94	0.55
1.22	0.52	3.94	0.55
1.19	0.46	4.06	1.59
1.75	0.61	3.33	0.46
1.67	0.43	3.39	0.40
1.22	0.46	4.88	0.46
1.13	0.40	3.63	0.49
1.60	0.40	3.51	0.49
4.08	1.59	3.60	0.49
1.80	0.46	4.06	0.52
2.08	0.49	4.61	0.58
1.96	0.52	5.07	0.55
1.64	0.49	4.52	0.52
1.70	0.49	4.88	0.55
1.74	0.61	5.43	0.55
1.78	0.61	4.33	0.55
1.79	0.61	4.39	0.61
1.37	0.55	5.46	0.55
1.47	0.64	4.43	0.55
1.51	0.61	4.52	0.61
1.54	0.64	5.13	0.58
1.49	0.61	4.91	0.70
1.56	0.58	4.49	0.61
1.51	0.55	5.31	0.52
1.51	0.58	4.36	0.58
1.49	0.55	4.82	0.61
2.10	0.55	9.95	0.82
1.68	0.21	3.88	0.55
1.96	0.24	4.06	0.52
4.99	0.34	3.51	0.67
5.21	0.31	4.73	0.58
2.96	0.21	3.54	0.64
6.76	0.27	3.66	0.49
4.57	0.21	3.69	0.46
4.21	0.24	4.30	1.31
3.73	0.34	4.43	0.70
2.67	0.24	4.52	0.64
3.53	0.31	4.30	0.76
1.43	0.18	3.85	0.55
5.13	0.21	3.48	0.55
7.40	0.31	3.69	0.55
1.39	0.21	3.63	0.55
1.22	0.18	3.57	0.55
1.22	0.18	3.27	0.52
4.77	0.40	5.37	0.76
1.70	0.27	5.19	0.76
7.62	0.43	5.37	0.76
2.11	0.31	4.97	0.73
1.81	0.31	5.13	0.73
3.47	0.40	4.97	0.76
1.89	0.31	4.73	0.73
1.96	0.31	5.04	0.73
6.30	0.52	5.13	0.76
2.55	0.34	8.09	0.95
2.31	0.43	8.82	1.10
4.95	0.49	5.46	1.10
1.66	0.31	5.74	0.76
1.85	0.27	5.43	0.73
2.25	0.46	5.65	0.89
1.96	0.95	5.71	0.89
2.07	0.24	6.87	0.73
2.14	0.37	5.62	0.98
1.45	1.04	5.55	0.82
1.78	0.40	5.55	0.82
1.64	0.37	6.20	0.95
1.44	1.13	5.58	0.82
1.52	0.37	5.55	0.82
1.53	0.37	5.46	0.98
1.49	0.37	5.46	0.82
1.50	0.76	6.35	0.85
1.53	0.24	16.02	1.68
1.64	0.55	8.54	0.98
1.37	0.98	7.51	0.85
2.42	0.61	5.98	0.82
3.26	0.61	5.25	0.64
1.95	0.61	4.91	0.61
1.81	0.73	5.34	0.73
1.70	1.16	4.43	0.58
