draw	prepare	execute	process
1.41	0.40	5.55	0.85
1.30	0.37	5.37	0.85
1.34	0.49	5.40	0.85
1.32	0.37	5.89	0.89
1.30	0.37	5.37	0.85
1.34	0.55	5.37	0.82
1.32	0.37	5.37	0.82
1.27	0.37	5.25	1.37
1.31	0.64	5.40	0.82
1.26	0.37	5.31	0.85
1.27	0.37	5.25	0.82
1.31	0.37	5.31	1.07
1.41	0.40	7.97	1.10
1.36	0.37	7.72	0.89
2.20	0.31	6.16	0.89
1.96	0.24	6.41	1.22
2.07	0.24	6.20	1.01
1.19	0.37	5.00	0.76
1.11	0.18	5.00	0.73
1.39	0.34	4.82	0.73
1.77	0.31	4.64	0.73
1.14	0.31	4.64	0.76
1.39	0.31	4.49	0.70
1.13	0.40	4.61	0.70
1.05	0.31	4.82	0.73
1.33	0.34	4.46	0.70
1.10	0.46	4.52	0.70
1.41	0.31	4.55	0.70
1.12	0.31	4.64	0.70
1.43	0.34	4.49	0.73
1.11	0.31	4.61	0.70
1.36	0.31	4.49	0.70
1.10	0.34	4.21	0.73
1.08	0.31	4.39	0.70
1.30	0.31	4.06	0.70
0.95	0.40	4.15	0.70
1.39	0.21	9.80	0.79
1.71	0.18	3.69	0.58
1.48	0.18	3.75	0.58
1.55	0.15	3.66	0.58
1.62	0.18	4.12	0.58
1.69	0.18	4.21	0.58
1.73	0.18	4.09	0.58
1.65	0.18	4.15	0.58
1.66	0.18	4.24	0.58
1.36	0.24	4.27	0.58
2.41	0.37	6.32	0.67
2.33	0.24	6.13	0.89
2.43	0.21	6.29	0.89
4.88	0.27	5.89	0.92
1.87	0.27	5.77	0.89
2.10	0.24	5.58	0.89
2.08	0.18	5.46	0.82
1.99	0.21	5.37	0.85
1.97	0.21	5.52	0.82
2.01	0.21	5.43	0.85
1.93	0.24	5.28	0.82
1.55	0.18	5.55	0.85
1.95	0.21	5.31	0.85
1.66	0.34	5.22	0.85
1.30	0.37	5.25	0.85
1.40	0.37	5.49	0.85
1.35	0.37	5.34	0.82
1.42	0.40	7.75	1.10
1.53	0.40	8.24	0.95
1.51	0.40	6.41	0.92
1.55	0.40	6.26	0.95
1.56	0.40	5.10	0.73
1.20	0.34	4.94	0.76
1.15	0.31	4.91	0.82
1.43	0.18	4.64	0.61
1.17	0.21	4.58	0.61
1.15	0.21	4.64	0.67
1.74	0.18	4.61	0.73
1.35	0.18	4.46	0.70
2.89	0.18	15.50	8.24
1.31	0.27	3.63	0.49
0.99	0.52	3.51	0.49
1.15	0.46	3.48	0.85
1.19	0.46	3.51	0.43
1.29	0.46	3.51	0.52
1.18	0.46	3.57	0.55
1.22	0.46	3.54	0.55
1.14	0.46	3.39	0.52
1.09	0.43	3.27	0.52
1.10	0.46	3.33	0.52
1.08	0.46	3.36	0.52
1.94	0.40	8.09	0.58
1.59	0.15	4.12	0.58
1.69	0.18	4.21	0.58
1.67	0.15	4.18	0.61
1.40	0.27	4.33	0.58
2.73	0.31	3.66	0.55
2.49	0.27	3.72	0.61
2.50	0.24	3.72	0.61
2.57	0.27	3.69	0.61
1.45	0.31	5.40	0.55
1.43	0.31	5.04	0.61
1.78	0.37	6.20	0.98
1.79	0.40	6.81	0.92
1.86	0.37	6.16	0.89
1.84	0.37	6.71	1.22
1.73	0.24	5.68	0.85
1.43	0.37	5.49	1.01
1.38	0.40	5.46	0.92
1.36	0.34	6.07	0.92
1.40	0.40	5.46	0.92
1.41	0.49	5.40	0.89
1.36	0.34	6.04	0.92
1.37	0.34	5.37	0.92
1.41	0.49	5.40	0.92
1.36	0.37	5.83	0.82
1.40	0.37	5.34	0.89
1.38	0.46	5.31	0.92
1.36	0.40	5.86	0.85
1.53	0.40	7.08	3.17
2.27	0.52	8.24	1.04
1.36	0.70	6.50	0.85
1.59	0.98	5.65	0.89
1.17	1.01	4.33	0.61
2.08	0.40	6.26	0.95
1.54	0.37	6.50	0.79
1.39	0.37	6.29	0.76
1.37	0.37	5.65	0.79
1.48	0.37	5.49	0.76
1.33	0.37	6.44	0.73
1.50	0.40	5.55	0.79
1.48	0.37	5.43	0.85
1.36	0.37	5.95	0.73
1.37	0.34	6.01	0.79
2.57	0.24	5.83	0.76
1.49	0.34	5.31	0.76
1.31	0.37	5.16	0.79
2.02	0.21	6.26	0.85
2.86	0.27	7.78	0.95
2.01	0.37	6.04	1.07
1.57	0.55	4.94	0.82
1.27	0.31	5.37	0.79
1.25	0.34	4.94	0.76
1.26	0.31	4.58	0.76
1.24	0.34	4.64	0.76
1.28	0.34	4.94	0.76
1.26	0.34	4.70	0.73
1.18	0.31	4.52	0.76
1.25	0.31	4.52	0.76
1.29	0.31	4.82	0.76
1.24	0.31	4.55	0.76
1.25	0.31	4.49	0.79
1.26	0.31	4.76	0.76
1.27	0.31	4.94	0.76
1.22	0.31	4.55	0.76
1.23	0.31	4.46	0.76
1.18	0.34	4.52	0.76
1.22	0.31	4.27	1.16
1.23	0.31	4.21	0.73
1.42	0.31	4.21	0.76
1.01	0.31	4.12	0.73
1.60	0.18	8.64	0.64
1.55	0.15	3.69	0.61
1.65	0.18	3.69	0.61
1.41	0.15	3.72	0.58
1.67	0.18	3.78	0.58
1.62	0.18	3.66	0.64
1.48	0.18	3.66	0.61
1.64	0.15	3.75	0.58
1.16	0.24	4.12	0.55
1.17	0.24	4.15	0.61
1.15	0.27	6.29	0.85
1.77	0.37	5.92	0.89
1.78	0.37	6.13	0.95
1.76	0.40	6.59	0.89
1.47	0.40	5.77	0.92
1.41	0.37	5.52	0.85
1.67	0.49	5.46	0.89
1.37	0.34	5.46	0.85
1.32	0.37	5.31	0.85
1.33	0.49	5.43	0.85
1.34	0.40	5.37	0.85
1.32	0.37	5.28	0.82
1.33	0.46	5.37	0.85
1.34	0.37	5.43	0.85
1.32	0.37	5.28	0.85
1.30	0.49	5.28	0.85
1.34	0.34	5.37	0.85
1.44	0.37	7.14	0.76
1.36	0.37	8.12	1.04
1.53	0.37	6.38	0.89
1.48	0.40	6.23	1.04
1.45	0.52	5.22	0.76
1.19	0.31	4.97	0.76
1.17	0.31	4.91	0.73
1.15	0.31	4.79	0.73
1.19	0.31	4.73	0.79
1.20	0.34	4.64	0.73
1.18	0.31	4.76	0.70
1.19	0.31	4.55	0.70
1.20	0.31	4.82	0.73
1.18	0.31	4.64	0.67
1.19	0.31	4.55	0.70
1.20	0.31	4.49	0.73
1.18	0.40	4.58	0.70
1.16	0.34	4.49	0.70
1.17	0.31	4.58	0.73
1.15	0.37	4.49	0.73
1.16	0.31	4.55	0.73
1.20	0.34	4.21	0.70
1.09	0.40	4.09	0.73
0.95	0.43	4.21	0.70
1.27	0.18	11.23	0.64
1.16	0.12	3.75	0.61
1.66	0.15	3.75	0.61
2.68	0.21	3.78	0.61
2.59	0.15	3.66	0.61
3.83	0.18	3.85	0.64
3.10	0.15	3.75	0.58
2.35	0.18	4.70	0.67
3.46	0.15	3.63	0.64
3.50	0.34	5.58	0.73
3.36	0.21	6.59	0.82
2.27	0.21	5.46	0.79
4.23	0.24	5.34	0.79
4.03	0.24	8.24	0.79
3.58	0.27	5.65	0.92
2.58	0.24	5.37	0.70
2.01	0.18	5.65	0.79
2.02	0.37	6.26	0.79
2.46	0.21	5.22	0.79
2.01	0.37	5.55	0.79
1.96	0.37	5.49	0.79
2.13	0.37	6.13	0.79
1.37	0.40	5.52	0.79
1.35	0.34	5.46	0.79
1.91	0.37	5.46	0.79
1.40	0.34	5.86	0.79
1.35	0.37	5.55	0.79
2.19	0.37	6.90	2.29
1.47	0.34	8.09	0.92
1.51	0.24	6.44	0.85
2.71	0.34	4.46	1.89
1.13	0.15	4.03	0.52
1.67	0.15	5.31	0.58
2.78	0.24	3.91	0.64
1.42	0.37	5.71	0.92
1.38	0.37	5.68	0.92
1.39	0.37	5.52	0.73
1.62	0.21	5.34	0.76
1.97	0.34	5.52	0.76
1.38	0.37	5.68	0.73
1.39	0.37	5.65	0.79
1.44	0.37	5.46	0.73
1.39	0.40	5.58	0.79
1.41	0.37	5.58	0.76
1.36	0.34	5.43	0.79
1.38	0.34	5.58	0.79
1.49	0.40	7.93	1.07
1.53	0.40	8.36	0.82
1.58	0.40	6.26	0.95
1.59	0.27	6.10	0.85
1.58	0.27	5.68	0.92
1.50	0.27	5.71	0.82
1.45	0.24	5.58	0.79
1.10	0.15	3.81	0.52
2.92	0.18	3.94	0.58
1.04	0.24	3.85	0.64
1.36	0.37	3.81	0.58
1.47	0.24	3.85	0.61
1.42	0.24	3.69	0.61
1.04	0.24	5.16	0.73
1.06	0.27	3.85	0.58
1.04	0.27	3.69	0.61
